"DATO","KL","TARGET","LAT","LON"
24/11/23,619,"Ringdalskogen-Ionity",59.1591952448499,10.113318781474186
24/11/23,733,"Color Line Larvik",59.12696972706097,10.226807979538783
24/11/23,1320,"Nørager",56.85837054047134,9.725290938602994
24/11/23,1418,"randers",56.45053685532228,9.998722715990032
24/11/23,1536,"fredericia",55.66381156863515,9.551000025867651
24/11/23,1623,"rødekro-Ionity",55.067104753936455,9.36558501464603
24/11/23,1932,"hamburg",53.554706036654835,10.009181114039613
24/11/23,2149,"egestorf",53.16219212058309,10.061798088649445
25/11/23,801,"braunautal",53.10970225312625,9.982204356139615
25/11/23,1043,"oelde",51.81245221959253,8.13158541922025
25/11/23,1413,"nurburgring",50.3338359294378,6.947225396920934
25/11/23,1607,"eifeldorf",50.331084346902756,6.94573256073072
25/11/23,1746,"salmtal",49.920985456455554,6.856371719902039
25/11/23,1935,"hauconcourt",49.21486242768719,6.172185413011539
25/11/23,2236,"fontaines",47.816564195624956,5.22288320608326
26/11/23,58,"saint-albain",46.42036039813599,4.863539714308925
26/11/23,419,"allan",45.2755651147692,4.825561932562215
26/11/23,739,"salles d aude",43.21614703092631,3.0897246651840615
26/11/23,951,"vilobi",41.89997925555633,2.76982102519338
26/11/23,1245,"les borges",41.17242206797308,1.0201992219383431
26/11/23,1358,"montsant",41.17242206797308,1.0201992219383431
26/11/23,1437,"cornudella de montsant",41.26160524171253,0.9420653642019584
26/11/23,1547,"vimbodi",41.4053695843782,1.0388465388809933
26/11/23,1644,"vila-sana",41.647332170677004,0.9306685342444865
26/11/23,1754,"lleida",41.61321206763038,0.6254040930391863
27/11/23,1359,"fraga",,,
27/11/23,1549,"l aldea",,,
27/11/23,1745,"burriana",,,,
27/11/23,1920,"ondara",,,
27/11/23,2146,"villajoyosa",,,
28/11/23,34,"puerto lumbreras",,,
28/11/23,244,"cullar",,,
28/11/23,443,"zafayona",,,
28/11/23,745,"casabermeja",,,
28/11/23,924,"torremolinos",,,
28/11/23,1037,"torremolinos",,,
28/11/23,1045,"torremolinos",,,
28/11/23,1110,"torremolinos",,,
28/11/23,1237,"torremolinos",,,
28/11/23,1610,"torremolinos",,,
28/11/23,2031,"torremolinos",,,
29/11/23,957,"torremolinos",,,
29/11/23,1456,"torremolinos",,,
29/11/23,1659,"torremolinos",,,
29/11/23,1952,"torremolinos",,,
30/11/23,1256,"el ejido",,,
30/11/23,1617,"cartagena",,,
01/12/23,1307,"orihuela",,,
01/12/23,1537,"villajoyosa",,,
01/12/23,1824,"castellan",,,
01/12/23,2010,"l'ldea",,,
01/12/23,2142,"vila-secs",,,
01/12/23,2204,"vila-seca",,,
01/12/23,2213,"vila-seca",,,
02/12/23,1145,"reus",,,
02/12/23,1315,"cornudella de montsant",,,
02/12/23,1522,"lo cami ral",,,
02/12/23,1743,"llobregat",,,
02/12/23,1809,"palloja",,,
02/12/23,2003,"aiguaviva",,,
02/12/23,2208,"agde",,,
02/12/23,2216,"agde",,,
03/12/23,102,"allan",,,
03/12/23,354,"dagneux",,,
03/12/23,553,"arlay",,,
03/12/23,837,"ecot",,,
03/12/23,1110,"mahlberg",,,
03/12/23,1354,"stuttgart",,,
03/12/23,1719,"ilsfeld",,,
03/12/23,1820,"heilbronn",,,
04/12/23,1328,"eichenzell",,,
04/12/23,1558,"sessen",,,
04/12/23,1910,"todendorf",,,
04/12/23,2039,"lubeck",,,
05/12/23,1057,"fehmarn",,,
05/12/23,1244,"vordingborg",,,
05/12/23,1353,"mosede",,,
05/12/23,1713,"varberg",,,
05/12/23,1843,"lindome",,,
05/12/23,2139,"strømstad",,,
05/12/23,2253,"rygge",,,
06/12/23,50,"hjemme",,,
24/11/23,619,"Ringdalskogen-Ionity",59.1591952448499,10.113318781474186
24/11/23,733,"Color Line Larvik",59.12696972706097,10.226807979538783
24/11/23,1320,"Nørager",56.85837054047134,9.725290938602994
24/11/23,1418,"randers",56.45053685532228,9.998722715990032
24/11/23,1536,"fredericia",55.66381156863515,9.551000025867651
24/11/23,1623,"rødekro-Ionity",55.067104753936455,9.36558501464603
24/11/23,1932,"hamburg",53.554706036654835,10.009181114039613
24/11/23,2149,"egestorf",53.16219212058309,10.061798088649445
25/11/23,801,"braunautal",53.10970225312625,9.982204356139615
25/11/23,1043,"oelde",51.81245221959253,8.13158541922025
25/11/23,1413,"nurburgring",50.3338359294378,6.947225396920934
25/11/23,1607,"eifeldorf",50.331084346902756,6.94573256073072
25/11/23,1746,"salmtal",49.920985456455554,6.856371719902039
25/11/23,1935,"hauconcourt",49.21486242768719,6.172185413011539
25/11/23,2236,"fontaines",47.816564195624956,5.22288320608326
26/11/23,58,"saint-albain",46.42036039813599,4.863539714308925
26/11/23,419,"allan",45.2755651147692,4.825561932562215
26/11/23,739,"salles d aude",43.21614703092631,3.0897246651840615
26/11/23,951,"vilobi",41.89997925555633,2.76982102519338
26/11/23,1245,"les borges",41.17242206797308,1.0201992219383431
26/11/23,1358,"montsant",41.17242206797308,1.0201992219383431
26/11/23,1437,"cornudella de montsant",41.26160524171253,0.9420653642019584
26/11/23,1547,"vimbodi",41.4053695843782,1.0388465388809933
26/11/23,1644,"vila-sana",41.647332170677004,0.9306685342444865
26/11/23,1754,"lleida",41.61321206763038,0.6254040930391863
27/11/23,1359,"fraga",,,
27/11/23,1549,"l aldea",,,
27/11/23,1745,"burriana",,,
27/11/23,1920,"ondara",,,
27/11/23,2146,"villajoyosa",,,
28/11/23,34,"puerto lumbreras",,,
28/11/23,244,"cullar",,,
28/11/23,443,"zafayona",,,
28/11/23,745,"casabermeja",,,
28/11/23,924,"torremolinos",,,
28/11/23,1037,"torremolinos",,,
28/11/23,1045,"torremolinos",,,
28/11/23,1110,"torremolinos",,,
28/11/23,1237,"torremolinos",,,
28/11/23,1610,"torremolinos",,,
28/11/23,2031,"torremolinos",,,
29/11/23,957,"torremolinos",,,
29/11/23,1456,"torremolinos",,,
29/11/23,1659,"torremolinos",,,
29/11/23,1952,"torremolinos",,,
30/11/23,1256,"el ejido",,,
30/11/23,1617,"cartagena",,,
01/12/23,1307,"orihuela",,,
01/12/23,1537,"villajoyosa",,,
01/12/23,1824,"castellan",,,
01/12/23,2010,"l'ldea",,,
01/12/23,2142,"vila-secs",,,
01/12/23,2204,"vila-seca",,,
01/12/23,2213,"vila-seca",,,
02/12/23,1145,"reus",,,
02/12/23,1315,"cornudella de montsant",,,
02/12/23,1522,"lo cami ral",,,
02/12/23,1743,"llobregat",,,
02/12/23,1809,"palloja",,,
02/12/23,2003,"aiguaviva",,,
02/12/23,2208,"agde",,,
02/12/23,2216,"agde",,,
03/12/23,102,"allan",,,
03/12/23,354,"dagneux",,,
03/12/23,553,"arlay",,,
03/12/23,837,"ecot",,,
03/12/23,1110,"mahlberg",,,
03/12/23,1354,"stuttgart",,,
03/12/23,1719,"ilsfeld",,,
03/12/23,1820,"heilbronn",,,
04/12/23,1328,"eichenzell",,,
04/12/23,1558,"sessen",,,
04/12/23,1910,"todendorf",,,
04/12/23,2039,"lubeck",,,
05/12/23,1057,"fehmarn",,,
05/12/23,1244,"vordingborg",,,
05/12/23,1353,"mosede",,,
05/12/23,1713,"varberg",,,
05/12/23,1843,"lindome",,,
05/12/23,2139,"strømstad",,,
05/12/23,2253,"rygge",,,
06/12/23,50,"hjemme",,,